mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
-8.33340298731842e-06,0.0165408960170603,0.1157164759245786,-0.1540761971901361,0.2697926731147148,-0.4523349633848375,13.65378485465692,0.0165408981162695,6.995779498258347,0.0002736012410472,1133,150.0,1.1671805610255388e-05,254.5320014726572,272.63297517063864,0.0026319688224764,crossing,crossing,1
5.8897703959693845e-06,0.016407936016703,0.1157164759245786,-0.1540761971901361,0.2697926731147148,-0.4516270879742832,14.186971152447668,0.016407937073795,7.0524695093686445,0.0002692203643282,1074,150.0,1.1176944678505636e-05,255.54586226445977,275.31654048753853,0.0027009260292762,squat I,squat I,1
-0.0001097441679036,0.0040666403919867,0.0143160193180606,-0.0133738348761731,0.0276898541942338,-0.0048309431008431,-0.1584028400302846,0.0040681209249636,3.5190741824343696,1.6537564077738326e-05,504,425.0,6.622077512678184e-07,529.6727407516975,949.9278076864788,0.0356757867773391,normal,normal,0
2.411661594866537e-05,0.0166938291525654,0.1818515952411361,-0.1898340886964134,0.3716856839375495,-0.4683401233688051,38.94665009777996,0.0166938465725011,10.893330931930958,0.000278683931775,1632,375.0,1.111346578332609e-05,375.2387419451942,263.9033353130957,0.0027248981193579,squat H,squat H,1
4.990998565521628e-05,0.0242296917272042,0.1691792186140938,-0.1898340886964134,0.3590133073105072,-0.0080015717513415,12.450145147460493,0.0242297431311604,6.982295177389728,0.0005870779611953,1114,150.0,2.018227375133282e-05,200.4440993584277,232.44621548574085,0.0016047551239652,crossing,crossing,1
9.546105304673493e-06,0.0224553428963198,0.1691792186140938,-0.1637163634072331,0.3328955820213269,0.1317903481010485,12.98041289117427,0.0224553449254164,7.534028943933319,0.0005042424245913,1203,150.0,1.8355580875928026e-05,192.71435314662975,241.43924619600543,0.0017687220626594,squat I,squat I,1
6.133117220177067e-06,0.008824409330964,0.0786940118884701,-0.0725190028369486,0.1512130147254187,0.1466684989138429,12.3448563477264,0.0088244114622751,8.917763210032934,7.7870200040406e-05,1757,425.0,2.964633777413223e-06,351.879587101333,488.1152618561849,0.0094342927923151,squat J,squat J,1
-2.2129571648850876e-05,0.0072624646436943,0.0646205575769207,-0.06253308134057,0.1271536389174907,0.1390625729302634,13.573056459659384,0.0072624983593011,8.89784126342145,5.274339270091112e-05,2607,150.0,2.1715719359400736e-06,986.4933961480276,1998.5600643192524,0.0275114113555616,joint Y,joint Y,1
-2.1860389470206923e-05,0.0059137053023659,0.0512729116031957,-0.056451927931688,0.1077248395348837,-0.1266115589211368,12.908385059971437,0.005913745706391,8.670124511404778,3.497191040323068e-05,2813,150.0,1.2040197053828947e-06,431.720809811816,1004.3661484222804,0.02392436726977,joint Z,joint Z,1
4.2399825483445134e-05,0.0027073273522032,0.0272757226032909,-0.0157554446326991,0.04303116723599,0.4376614399206122,7.176757170787974,0.0027076593465923,10.073542906207376,7.329621391987618e-06,3303,150.0,2.8769290253134604e-07,684.1028102730968,1396.4884625692678,0.0753074013725296,squat K,squat K,1
-5.23754742345181e-07,0.0038813554885456,0.0338412204489069,-0.0321047672831986,0.0659459877321056,-0.298342833668889,14.55476075890284,0.0038813555238836,8.71891797612124,1.506492042846336e-05,3246,150.0,5.824906521076101e-07,433.4143786503252,1019.7682129353884,0.0384734467410831,squat J,squat J,1
-5.21643060784114e-05,0.0016361760250286,0.005566209758786,-0.0051242111000456,0.0106904208588317,0.0108979019585252,-0.0048942426679707,0.0016370073609202,3.400235021336057,2.677071984878527e-06,817,25.0,9.902519587710773e-08,1394.9238394031215,2200.556741409319,0.1873191373446681,normal,normal,0
-1.6988348292154163e-06,0.00220780487497,0.0158959069755456,-0.0145073194721064,0.0304032264476521,0.2395476581024395,4.955634897778319,0.0022078055285692,7.19986736596617,4.874402365941324e-06,4198,150.0,1.9260489384954906e-07,911.356428107991,1673.1019362407712,0.1097667727973901,joint Y,joint Y,1
3.00411455968077e-05,0.0022980787573967,0.0151228837048228,-0.0139672089256599,0.0290900926304827,-0.1072855817628999,4.745960892585028,0.002298275102251,6.580101611861265,5.2811659751983525e-06,4120,100.0,2.1728449266761574e-07,751.0043075399977,1606.5918919187086,0.0931313283369806,joint Z,joint Z,1
